,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,clusters
0,28143,0,1,1,1,174,1,0,0,7000,2
1,19244,0,1,1,1,215,2,0,0,6968,2
2,41354,0,1,1,1,4123,4,0,0,7034,2
3,14776,0,1,1,1,500,1,0,0,6952,2
4,97752,0,4,1,1,43300,26,2077,4,6935,2
5,16420,0,1,1,1,0,0,0,0,6942,2
6,84914,0,3,1,1,27482,25,0,0,6994,2
7,20856,0,1,1,1,5250,4,250,1,6938,2
8,165144,0,3,2,1,1753,43,3850,12,6948,2
9,104860,0,3,1,1,28426,28,1150,3,6931,2
10,40091,0,2,1,1,7278,10,0,0,6959,2
11,96522,0,5,1,1,61105,19,0,0,6924,1
12,43382,0,2,1,1,11150,20,0,0,6924,2
13,43097,0,1,1,1,3258,6,0,0,6918,2
14,17648,0,1,1,1,0,0,0,0,6912,2
15,28495,0,4,1,1,49442,15,0,0,6912,3
16,51890,0,4,1,1,48963,16,0,0,6910,1
17,13958,0,1,1,1,4291,5,0,0,6905,2
18,91473,0,3,1,1,27408,17,0,0,6903,2
19,23354,0,3,1,1,10447,5,0,0,6896,2
20,120576,0,5,1,1,58831,23,250,2,6896,2
21,165144,2024,1,1,1,13300,16,1800,9,6896,2
22,20584,0,1,1,1,3450,11,3450,11,6884,2
23,66275,0,1,1,1,2533,11,150,1,6884,2
24,165144,500,1,1,1,4025,21,700,4,7932,2
25,20726,0,1,1,1,1375,4,0,0,7924,2
26,18521,0,1,1,1,1227,2,1227,2,7917,2
27,8828,0,1,1,1,0,0,0,0,7914,2
28,59763,0,3,1,1,33772,20,100,1,7907,1
29,19221,0,1,1,1,4655,8,500,1,7896,2
30,165144,0,3,1,1,20797,13,0,0,7886,2
31,10021,0,1,1,1,0,0,0,0,7879,2
32,165144,0,4,1,1,42044,23,0,0,7872,2
33,18047,0,1,1,1,100,1,0,0,7868,2
34,43832,0,1,1,1,0,0,0,0,7865,2
35,123759,0,4,1,1,50572,23,2500,5,7865,2
36,23193,0,1,1,1,650,4,550,3,7861,2
37,68666,0,1,1,1,350,2,350,2,7861,2
38,59990,0,3,1,1,27878,17,0,0,7854,2
39,2176,0,1,1,1,0,0,0,0,7847,0
40,34616,0,1,1,1,1750,4,500,1,7850,2
41,10470,0,4,1,1,38094,26,0,0,7840,3
42,60313,0,1,1,1,10000,26,3250,9,7829,2
43,165144,0,3,1,1,15008,14,0,0,7819,2
44,121260,0,3,1,1,18493,18,0,0,7808,2
45,165144,967,1,1,1,23600,14,2000,4,6884,2
46,92336,0,2,1,1,11214,6,0,0,6884,2
47,36924,0,1,1,1,5900,6,300,2,6879,2
48,70312,0,3,1,1,34678,24,500,1,6875,2
49,17051,0,1,1,1,1150,4,1150,4,6868,2
50,108137,0,1,1,1,6368,5,6368,5,6844,2
51,1300,0,1,1,1,370,1,0,0,6868,0
52,118531,0,4,1,1,44577,38,0,0,6868,2
53,121395,0,1,1,1,4970,8,650,2,6889,2
54,38348,0,1,1,1,0,0,0,0,6861,2
55,14448,0,1,1,1,1625,6,0,0,6856,2
56,75971,0,4,1,1,34339,14,0,0,6869,2
57,36298,0,1,1,1,3100,5,600,3,6865,2
58,38077,0,3,1,1,34024,8,0,0,6837,1
59,95118,0,3,1,1,23188,23,2200,7,6865,2
60,134457,0,3,1,1,15588,14,0,0,6861,2
61,19918,0,1,1,1,17601,11,0,0,6863,2
62,10120,0,1,1,1,0,0,0,0,6864,2
63,165144,0,1,1,1,28079,8,0,0,6835,2
64,80250,0,1,1,1,895,2,0,0,6833,2
65,53914,0,3,1,1,33767,45,5550,29,6826,1
66,9375,0,1,1,1,1750,7,0,0,6826,2
67,83237,0,4,1,1,35287,18,0,0,6837,2
68,165144,0,3,1,1,24047,12,0,0,6826,2
69,47457,0,3,1,1,12621,16,0,0,7766,2
70,84409,5031,2,1,1,15436,16,1150,4,7766,2
71,165144,0,4,1,1,39787,13,0,0,7787,2
72,165144,0,3,1,1,12500,13,50,1,7801,2
73,12646,0,1,1,1,631,4,631,4,7787,2
74,123867,0,3,1,1,25308,17,0,0,7759,2
75,129871,0,3,1,1,15776,22,0,0,7752,2
76,109380,0,1,1,1,7537,16,0,0,7749,2
77,111157,0,4,1,1,32883,19,0,0,7771,2
78,49238,0,4,1,1,38037,18,0,0,7801,1
79,38896,0,5,1,1,76988,16,556,1,7771,3
80,4340,0,1,1,1,32685,5,0,0,7733,3
81,88443,0,1,1,1,1200,3,1200,3,6837,2
82,8454,0,1,1,1,498,9,0,0,6821,2
83,61990,0,1,1,1,1625,6,0,0,6833,2
84,24093,0,1,1,1,1750,7,0,0,6819,2
85,35418,0,5,1,1,58557,18,900,3,6813,1
86,40284,0,1,1,1,7719,5,0,0,6827,2
87,165144,0,3,1,1,21422,22,1200,8,6820,2
88,62553,0,2,1,1,7672,16,700,1,6819,2
89,48433,0,1,1,1,3500,4,500,1,6807,2
90,20508,0,1,1,1,22250,8,1250,5,6794,1
91,2000,0,1,1,1,2000,4,2000,4,6809,0
92,78629,0,4,1,1,36679,25,0,0,6817,2
93,143566,0,1,1,1,5000,5,1500,3,6785,2
94,165144,0,5,1,1,110859,39,2950,16,6778,1
95,16796,0,1,1,1,2875,16,0,0,6773,2
96,57346,0,1,1,1,5560,23,0,0,6766,2
97,102062,0,4,1,1,44247,16,0,0,6758,2
98,22324,0,1,1,1,1375,4,0,0,6753,2
99,64824,0,3,1,1,20184,13,0,0,6770,2
100,25076,1182,5,1,1,57203,14,0,0,6750,3
101,8053,0,1,1,1,0,0,0,0,6750,2
102,35119,0,1,1,1,0,0,0,0,6749,2
103,28667,0,1,1,1,3861,7,2050,5,6749,2
104,34327,0,1,1,1,0,0,0,0,6745,2
105,3734,0,5,1,1,61096,18,150,2,6760,3
106,96627,1182,1,1,3,49059,26,2300,9,6738,2
107,43498,0,1,1,1,0,0,0,0,6759,2
108,84674,0,4,1,1,46335,14,50,1,6738,2
109,15098,0,4,1,1,32917,26,550,3,6737,3
110,165144,0,3,1,1,18415,15,0,0,7714,2
111,165144,0,1,1,1,8550,11,2550,8,7714,2
112,124198,0,5,1,1,66330,23,4833,10,7710,2
113,56906,0,1,1,1,2015,13,0,0,7707,2
114,165144,0,1,1,1,5422,20,818,2,7700,2
115,67018,0,3,1,1,23260,25,0,0,7698,2
116,143967,0,2,1,1,7346,11,0,0,7689,2
117,165144,0,1,1,1,2500,3,1000,2,7718,2
118,122705,0,3,1,1,24222,15,0,0,7682,2
119,16583,0,1,1,1,2625,7,0,0,7682,2
120,77540,0,1,1,1,1000,1,0,0,7683,2
121,165144,0,5,1,1,126630,45,2250,10,7668,1
122,81974,0,4,1,1,37266,18,1050,3,7661,2
123,47258,0,3,1,1,24768,19,0,0,7659,2
124,77699,0,4,1,1,42775,13,0,0,7654,1
125,133954,500,4,1,1,37670,18,1500,3,7654,2
126,165144,0,5,1,1,194753,26,2250,10,7652,1
127,165144,0,4,1,1,56308,41,5200,14,7645,2
128,48333,0,2,1,1,10123,14,0,0,6737,2
129,142175,0,4,1,1,37461,22,0,0,6732,2
130,17469,0,1,1,1,0,0,0,0,6730,2
131,19823,0,1,1,1,1095,3,335,1,6730,2
132,145074,0,1,1,1,8000,4,0,0,6746,2
133,101101,0,1,1,1,10850,11,1850,6,6725,2
134,125948,0,3,1,1,15155,15,0,0,6761,2
135,165144,1776,1,1,1,19172,26,7172,23,6723,2
136,129298,0,4,1,1,29099,15,0,0,6722,2
137,103302,0,4,1,1,53552,22,700,3,6718,2
138,160447,0,1,1,1,8578,25,0,0,6716,2
139,15472,0,1,1,1,3500,14,0,0,6715,2
140,39628,0,1,1,1,0,0,0,0,6711,2
141,6112,0,1,1,1,0,0,0,0,6709,0
142,31769,0,1,1,1,450,2,450,2,6707,2
143,126787,0,4,1,1,35021,17,0,0,6701,2
144,41547,0,3,1,1,16857,17,0,0,6697,2
145,100640,0,1,1,1,7600,8,1600,5,6708,2
146,18707,0,1,1,1,100,1,0,0,6693,2
147,50593,0,5,1,1,58208,17,1500,2,6689,1
148,84631,0,3,1,1,20415,17,0,0,6736,2
149,24868,0,1,1,1,205,5,0,0,6689,2
150,77097,0,4,1,1,42403,22,1718,4,6683,1
151,165144,0,5,1,1,211284,18,2250,6,7640,1
152,165144,0,5,1,1,60808,20,500,1,7640,2
153,87474,0,1,1,1,4581,15,0,0,7634,2
154,48707,0,4,1,1,37655,14,0,0,7631,1
155,165144,0,4,1,1,52574,21,500,1,7626,2
156,165144,0,3,1,1,19926,12,0,0,7624,2
157,44182,0,3,1,1,12313,12,0,0,7619,2
158,165144,0,5,1,1,59852,21,0,0,7612,2
159,46823,0,1,1,1,5860,12,0,0,7613,2
160,69110,0,3,1,1,18500,19,0,0,7598,2
161,120700,0,5,1,1,55323,17,1500,1,7598,2
162,152945,0,1,1,1,18604,6,3604,2,7598,2
163,10302,0,4,1,1,30298,19,0,0,7591,3
164,80331,0,3,1,1,15489,18,0,0,7634,2
165,69882,0,1,1,1,180,6,0,0,7582,2
166,95658,0,1,1,1,5269,18,0,0,7584,2
167,165144,0,5,1,1,74800,15,0,0,7582,2
168,165144,0,4,1,1,44615,16,0,0,7577,2
169,21694,0,4,1,1,45230,20,700,2,7575,3
170,71767,0,5,1,1,67335,13,0,0,7570,1
171,35820,0,1,1,1,0,0,0,0,7575,2
172,165144,0,3,1,1,23740,6,1000,2,7563,2
173,149285,0,1,1,1,15656,13,3250,6,7561,2
174,120941,0,4,1,1,42301,21,0,0,7588,2
175,165144,0,4,1,1,43533,19,900,4,7575,2
176,106961,0,1,1,1,7357,19,200,2,7572,2
177,28086,1745,2,1,1,7368,12,0,0,7549,2
178,60230,0,1,1,1,500,1,0,0,7544,2
179,6663,0,1,1,1,1125,7,750,4,7575,0
180,48145,0,1,1,1,10735,27,0,0,7540,2
181,127807,0,3,1,1,17086,16,1500,3,7537,2
182,32948,0,1,1,1,50,1,50,1,7569,2
183,8933,0,2,1,1,8860,14,0,0,7533,0
